,timestamp,5472,time_diff
591408,2021-04-05 19:06:07,59.3,0 days 00:05:29
591427,2021-04-05 19:11:07,59.7,0 days 00:05:00
591444,2021-04-05 19:16:07,59.7,0 days 00:05:00
591453,2021-04-05 19:21:08,58,0 days 00:05:01
591460,2021-04-05 19:26:08,57.6,0 days 00:05:00
591471,2021-04-05 19:31:37,58,0 days 00:05:29
591478,2021-04-05 19:36:37,56.1,0 days 00:05:00
591487,2021-04-05 19:42:08,54.6,0 days 00:05:31
591494,2021-04-05 19:47:37,53.6,0 days 00:05:29
591502,2021-04-05 19:53:38,55.5,0 days 00:06:01
591512,2021-04-05 19:59:08,57.5,0 days 00:05:30
591521,2021-04-05 20:04:37,56.5,0 days 00:05:29
591529,2021-04-05 20:09:37,54.7,0 days 00:05:00
591537,2021-04-05 20:14:38,52.6,0 days 00:05:01
591549,2021-04-05 20:19:38,52,0 days 00:05:00
591567,2021-04-05 20:24:38,53.7,0 days 00:05:00
591584,2021-04-05 20:30:07,53.5,0 days 00:05:29
591593,2021-04-05 20:35:07,51.7,0 days 00:05:00
591603,2021-04-05 20:40:07,50.9,0 days 00:05:00
591610,2021-04-05 20:45:08,51.2,0 days 00:05:01
591618,2021-04-05 20:50:08,50.6,0 days 00:05:00
591626,2021-04-05 20:55:08,51,0 days 00:05:00
591636,2021-04-05 21:00:38,51.7,0 days 00:05:30
591645,2021-04-05 21:05:38,53.1,0 days 00:05:00
591654,2021-04-05 21:10:38,55.3,0 days 00:05:00
591662,2021-04-05 21:16:07,55.6,0 days 00:05:29
591670,2021-04-05 21:21:08,56.7,0 days 00:05:01
591679,2021-04-05 21:27:07,58.5,0 days 00:05:59
591689,2021-04-05 21:32:08,60.5,0 days 00:05:01
591698,2021-04-05 21:37:08,60.7,0 days 00:05:00
591709,2021-04-05 21:42:37,63.5,0 days 00:05:29
591719,2021-04-05 21:47:37,68.6,0 days 00:05:00
591729,2021-04-05 21:53:35,73.7,0 days 00:05:58
591738,2021-04-05 21:58:36,73.2,0 days 00:05:01
591749,2021-04-05 22:03:53,82,0 days 00:05:17
591777,2021-04-05 22:08:55,115.3,0 days 00:05:02
591802,2021-04-05 22:13:58,144.3,0 days 00:05:03
591815,2021-04-05 22:19:26,155,0 days 00:05:28
591822,2021-04-05 22:24:56,155.3,0 days 00:05:30
591833,2021-04-05 22:30:26,152.4,0 days 00:05:30
591842,2021-04-05 22:35:26,150.4,0 days 00:05:00
591850,2021-04-05 22:40:26,147.5,0 days 00:05:00
591860,2021-04-05 22:45:26,144.1,0 days 00:05:00
591870,2021-04-05 22:50:26,148,0 days 00:05:00
591880,2021-04-05 22:55:26,146.2,0 days 00:05:00
591888,2021-04-05 23:00:56,144.6,0 days 00:05:30
591902,2021-04-05 23:05:56,143.1,0 days 00:05:00
591916,2021-04-05 23:10:58,151.7,0 days 00:05:02
591933,2021-04-05 23:16:01,159.4,0 days 00:05:03
591949,2021-04-05 23:21:25,164,0 days 00:05:24
591966,2021-04-05 23:26:25,160.8,0 days 00:05:00
591986,2021-04-05 23:31:25,157.2,0 days 00:05:00
592002,2021-04-05 23:36:25,153.3,0 days 00:05:00
592019,2021-04-05 23:41:25,150,0 days 00:05:00
592038,2021-04-05 23:46:25,147.1,0 days 00:05:00
592056,2021-04-05 23:51:25,142.4,0 days 00:05:00
592071,2021-04-05 23:56:25,139.7,0 days 00:05:00
592087,2021-04-06 00:01:25,138.2,0 days 00:05:00
592100,2021-04-06 00:06:25,141.1,0 days 00:05:00
592108,2021-04-06 00:11:25,138.7,0 days 00:05:00
592117,2021-04-06 00:16:55,136.9,0 days 00:05:30
592126,2021-04-06 00:21:55,134.3,0 days 00:05:00
592135,2021-04-06 00:26:55,134.7,0 days 00:05:00
592143,2021-04-06 00:31:55,134.1,0 days 00:05:00
592161,2021-04-06 00:37:17,153.1,0 days 00:05:22
592170,2021-04-06 00:42:17,155.8,0 days 00:05:00
592179,2021-04-06 00:47:17,155.4,0 days 00:05:00
592189,2021-04-06 00:52:17,151.7,0 days 00:05:00
592199,2021-04-06 00:57:17,147.5,0 days 00:05:00
592209,2021-04-06 01:02:17,144.4,0 days 00:05:00
592218,2021-04-06 01:07:17,144.6,0 days 00:05:00
592231,2021-04-06 01:12:19,158.4,0 days 00:05:02
592243,2021-04-06 01:17:37,168.3,0 days 00:05:18
592254,2021-04-06 01:22:53,175.7,0 days 00:05:16
592269,2021-04-06 01:28:00,192.8,0 days 00:05:07
592304,2021-04-06 01:33:07,229.6,0 days 00:05:07
592328,2021-04-06 01:38:13,253.2,0 days 00:05:06
592351,2021-04-06 01:43:15,270.5,0 days 00:05:02
592390,2021-04-06 01:48:18,306.8,0 days 00:05:03
592421,2021-04-06 01:53:23,332.7,0 days 00:05:05
592449,2021-04-06 01:58:29,355.8,0 days 00:05:06
592484,2021-04-06 02:03:29,387.7,0 days 00:05:00
592518,2021-04-06 02:08:43,420.8,0 days 00:05:14
592546,2021-04-06 02:13:53,447.6,0 days 00:05:10
592564,2021-04-06 02:19:08,463.6,0 days 00:05:15
592581,2021-04-06 02:24:13,482.8,0 days 00:05:05
592598,2021-04-06 02:29:17,502.8,0 days 00:05:04
592614,2021-04-06 02:34:26,521,0 days 00:05:09
592640,2021-04-06 02:39:30,551.3,0 days 00:05:04
592658,2021-04-06 02:44:37,572.4,0 days 00:05:07
592684,2021-04-06 02:49:39,602.7,0 days 00:05:02
592716,2021-04-06 02:54:41,641.2,0 days 00:05:02
592744,2021-04-06 02:59:55,674.7,0 days 00:05:14
592766,2021-04-06 03:04:56,700.3,0 days 00:05:01
592791,2021-04-06 03:10:00,727.1,0 days 00:05:04
592818,2021-04-06 03:15:07,760.1,0 days 00:05:07
592845,2021-04-06 03:20:17,790.7,0 days 00:05:10
592865,2021-04-06 03:25:29,807.5,0 days 00:05:12
592889,2021-04-06 03:30:33,828.2,0 days 00:05:04
592910,2021-04-06 03:35:41,839.3,0 days 00:05:08
592934,2021-04-06 03:41:23,848.9,0 days 00:05:42
592954,2021-04-06 03:46:27,858.9,0 days 00:05:04
592975,2021-04-06 03:51:39,866.4,0 days 00:05:12
592991,2021-04-06 03:56:39,862.5,0 days 00:05:00
593001,2021-04-06 04:02:05,869.4,0 days 00:05:26
593014,2021-04-06 04:07:31,883.6,0 days 00:05:26
593025,2021-04-06 04:12:55,893.7,0 days 00:05:24
593036,2021-04-06 04:18:21,902.8,0 days 00:05:26
593048,2021-04-06 04:23:33,914.1,0 days 00:05:12
593062,2021-04-06 04:28:47,929.6,0 days 00:05:14
593078,2021-04-06 04:33:59,948.4,0 days 00:05:12
593091,2021-04-06 04:39:13,958.8,0 days 00:05:14
593110,2021-04-06 04:44:13,978.5,0 days 00:05:00
593131,2021-04-06 04:49:37,987.5,0 days 00:05:24
593150,2021-04-06 04:54:37,995.5,0 days 00:05:00
593170,2021-04-06 04:59:52,1003.5,0 days 00:05:15
593191,2021-04-06 05:04:55,1013.3,0 days 00:05:03
593210,2021-04-06 05:10:15,1024.9,0 days 00:05:20
593224,2021-04-06 05:15:15,1031.6,0 days 00:05:00
593241,2021-04-06 05:20:21,1051,0 days 00:05:06
593256,2021-04-06 05:25:35,1068,0 days 00:05:14
593275,2021-04-06 05:30:41,1084.9,0 days 00:05:06
593286,2021-04-06 05:35:59,1093.6,0 days 00:05:18
593297,2021-04-06 05:41:17,1103.2,0 days 00:05:18
593311,2021-04-06 05:46:32,1117.8,0 days 00:05:15
593329,2021-04-06 05:51:43,1137.9,0 days 00:05:11
593341,2021-04-06 05:57:05,1146.8,0 days 00:05:22
593355,2021-04-06 06:02:05,1161.9,0 days 00:05:00
593367,2021-04-06 06:07:06,1164.9,0 days 00:05:01
593377,2021-04-06 06:12:06,1166.3,0 days 00:05:00
593386,2021-04-06 06:17:06,1168.3,0 days 00:05:00
593394,2021-04-06 06:22:06,1164.6,0 days 00:05:00
593403,2021-04-06 06:27:36,1166.6,0 days 00:05:30
593417,2021-04-06 06:32:36,1163.5,0 days 00:05:00
593429,2021-04-06 06:38:06,1158.7,0 days 00:05:30
593440,2021-04-06 06:43:29,1152.3,0 days 00:05:23
593450,2021-04-06 06:48:30,1153.4,0 days 00:05:01
593458,2021-04-06 06:53:30,1152,0 days 00:05:00
593468,2021-04-06 06:58:30,1158.3,0 days 00:05:00
593487,2021-04-06 07:03:32,1180.3,0 days 00:05:02
593499,2021-04-06 07:09:10,1186.3,0 days 00:05:38
593509,2021-04-06 07:14:10,1188.5,0 days 00:05:00
593526,2021-04-06 07:19:20,1204.2,0 days 00:05:10
593536,2021-04-06 07:24:20,1208.4,0 days 00:05:00
593552,2021-04-06 07:29:41,1193.2,0 days 00:05:21
593574,2021-04-06 07:34:42,1168.1,0 days 00:05:01
593597,2021-04-06 07:39:51,1141,0 days 00:05:09
593621,2021-04-06 07:45:07,1112.1,0 days 00:05:16
593642,2021-04-06 07:50:12,1087.4,0 days 00:05:05
593664,2021-04-06 07:55:16,1060.3,0 days 00:05:04
593690,2021-04-06 08:00:24,1028.8,0 days 00:05:08
593709,2021-04-06 08:05:31,1007.3,0 days 00:05:07
593733,2021-04-06 08:10:32,979.3,0 days 00:05:01
593761,2021-04-06 08:15:41,951.4,0 days 00:05:09
593785,2021-04-06 08:20:46,927.6,0 days 00:05:05
593818,2021-04-06 08:25:58,894.1,0 days 00:05:12
593851,2021-04-06 08:31:06,858.8,0 days 00:05:08
593885,2021-04-06 08:36:10,825.9,0 days 00:05:04
593921,2021-04-06 08:41:17,793.1,0 days 00:05:07
593960,2021-04-06 08:46:27,759.3,0 days 00:05:10
593996,2021-04-06 08:51:33,727.5,0 days 00:05:06
594030,2021-04-06 08:56:33,697.9,0 days 00:05:00
594062,2021-04-06 09:01:36,670.8,0 days 00:05:03
594091,2021-04-06 09:06:39,646.2,0 days 00:05:03
594122,2021-04-06 09:11:49,623.1,0 days 00:05:10
594148,2021-04-06 09:17:00,602.5,0 days 00:05:11
594178,2021-04-06 09:22:04,579.3,0 days 00:05:04
594207,2021-04-06 09:27:06,555.6,0 days 00:05:02
594232,2021-04-06 09:32:11,533.6,0 days 00:05:05
594253,2021-04-06 09:37:23,513.9,0 days 00:05:12
594268,2021-04-06 09:42:31,496.3,0 days 00:05:08
594281,2021-04-06 09:47:53,481.3,0 days 00:05:22
594295,2021-04-06 09:52:59,464.9,0 days 00:05:06
594312,2021-04-06 09:58:06,445.9,0 days 00:05:07
594328,2021-04-06 10:03:13,427.4,0 days 00:05:07
594342,2021-04-06 10:08:13,411.1,0 days 00:05:00
594356,2021-04-06 10:13:13,394.9,0 days 00:05:00
594371,2021-04-06 10:18:34,377.8,0 days 00:05:21
594385,2021-04-06 10:23:43,362.2,0 days 00:05:09
594398,2021-04-06 10:29:03,347.6,0 days 00:05:20
594410,2021-04-06 10:34:13,335.2,0 days 00:05:10
594421,2021-04-06 10:39:13,323.3,0 days 00:05:00
594432,2021-04-06 10:44:19,311.9,0 days 00:05:06
594443,2021-04-06 10:49:37,301.7,0 days 00:05:18
594454,2021-04-06 10:54:53,292.9,0 days 00:05:16
594464,2021-04-06 10:59:53,286.6,0 days 00:05:00
594474,2021-04-06 11:04:53,280.5,0 days 00:05:00
594486,2021-04-06 11:10:21,270.9,0 days 00:05:28
594497,2021-04-06 11:15:45,262,0 days 00:05:24
594507,2021-04-06 11:20:45,256.1,0 days 00:05:00
594517,2021-04-06 11:25:45,248.8,0 days 00:05:00
594533,2021-04-06 11:31:11,239.9,0 days 00:05:26
594547,2021-04-06 11:36:11,234.1,0 days 00:05:00
594557,2021-04-06 11:41:11,228.6,0 days 00:05:00
594570,2021-04-06 11:46:11,223.1,0 days 00:05:00
594583,2021-04-06 11:51:11,222.5,0 days 00:05:00
594595,2021-04-06 11:56:39,232,0 days 00:05:28
594605,2021-04-06 12:02:03,235.6,0 days 00:05:24
594617,2021-04-06 12:07:23,238.3,0 days 00:05:20
594635,2021-04-06 12:12:23,231.8,0 days 00:05:00
594647,2021-04-06 12:17:23,226.7,0 days 00:05:00
594657,2021-04-06 12:22:23,220.8,0 days 00:05:00
594666,2021-04-06 12:27:23,217.5,0 days 00:05:00
594675,2021-04-06 12:32:23,216.4,0 days 00:05:00
594683,2021-04-06 12:37:23,218.3,0 days 00:05:00
594700,2021-04-06 12:42:41,237.3,0 days 00:05:18
594710,2021-04-06 12:47:41,240.3,0 days 00:05:00
594720,2021-04-06 12:52:41,235.8,0 days 00:05:00
594731,2021-04-06 12:57:41,233.8,0 days 00:05:00
594743,2021-04-06 13:02:41,227.7,0 days 00:05:00
594755,2021-04-06 13:07:41,221.2,0 days 00:05:00
594774,2021-04-06 13:13:09,216.3,0 days 00:05:28
594791,2021-04-06 13:18:09,208.8,0 days 00:05:00
594808,2021-04-06 13:23:09,202.6,0 days 00:05:00
594819,2021-04-06 13:28:39,195.5,0 days 00:05:30
594830,2021-04-06 13:34:07,187.2,0 days 00:05:28
594841,2021-04-06 13:39:35,179.8,0 days 00:05:28
594850,2021-04-06 13:44:35,176.3,0 days 00:05:00
594858,2021-04-06 13:49:35,175.3,0 days 00:05:00
594869,2021-04-06 13:54:35,170.6,0 days 00:05:00
594884,2021-04-06 13:59:35,167.2,0 days 00:05:00
594901,2021-04-06 14:04:35,163.1,0 days 00:05:00
594919,2021-04-06 14:09:35,161,0 days 00:05:00
594936,2021-04-06 14:14:35,158.9,0 days 00:05:00
594948,2021-04-06 14:19:35,156.3,0 days 00:05:00
594957,2021-04-06 14:24:35,153.3,0 days 00:05:00
594970,2021-04-06 14:30:35,150.7,0 days 00:06:00
594985,2021-04-06 14:35:35,150,0 days 00:05:00
594994,2021-04-06 14:40:35,148.3,0 days 00:05:00
595004,2021-04-06 14:45:35,144.2,0 days 00:05:00
595014,2021-04-06 14:50:35,139.9,0 days 00:05:00
595030,2021-04-06 14:55:35,135.1,0 days 00:05:00
595049,2021-04-06 15:00:35,130.4,0 days 00:05:00
595060,2021-04-06 15:05:35,126,0 days 00:05:00
595070,2021-04-06 15:10:35,121,0 days 00:05:00
595080,2021-04-06 15:15:35,116.6,0 days 00:05:00
595089,2021-04-06 15:20:35,113.3,0 days 00:05:00
595101,2021-04-06 15:25:36,109.3,0 days 00:05:01
595123,2021-04-06 15:31:05,105.5,0 days 00:05:29
595142,2021-04-06 15:36:05,102.9,0 days 00:05:00
595160,2021-04-06 15:41:05,100.1,0 days 00:05:00
595178,2021-04-06 15:46:05,97,0 days 00:05:00
595190,2021-04-06 15:51:05,94.2,0 days 00:05:00
595200,2021-04-06 15:56:05,91.6,0 days 00:05:00
595210,2021-04-06 16:01:05,89.8,0 days 00:05:00
595218,2021-04-06 16:06:05,87.9,0 days 00:05:00
595225,2021-04-06 16:11:05,86.5,0 days 00:05:00
595233,2021-04-06 16:16:05,85.8,0 days 00:05:00
595245,2021-04-06 16:21:35,84.6,0 days 00:05:30
595264,2021-04-06 16:26:35,83.7,0 days 00:05:00
595274,2021-04-06 16:32:35,83.1,0 days 00:06:00
595288,2021-04-06 16:37:35,80.7,0 days 00:05:00
595301,2021-04-06 16:42:35,78.5,0 days 00:05:00
595307,2021-04-06 16:47:35,76.8,0 days 00:05:00
595316,2021-04-06 16:52:35,75.3,0 days 00:05:00
595324,2021-04-06 16:58:05,73.6,0 days 00:05:30
595333,2021-04-06 17:03:05,72,0 days 00:05:00
595341,2021-04-06 17:08:35,70.9,0 days 00:05:30
595348,2021-04-06 17:14:05,69.4,0 days 00:05:30
595357,2021-04-06 17:19:05,69.4,0 days 00:05:00
595362,2021-04-06 17:24:35,70.3,0 days 00:05:30
595372,2021-04-06 17:29:36,71.3,0 days 00:05:01
595380,2021-04-06 17:35:05,70.4,0 days 00:05:29
595386,2021-04-06 17:40:05,70.1,0 days 00:05:00
595395,2021-04-06 17:45:05,69.5,0 days 00:05:00
595403,2021-04-06 17:50:35,70.5,0 days 00:05:30
595411,2021-04-06 17:55:35,70.8,0 days 00:05:00
595420,2021-04-06 18:00:35,73,0 days 00:05:00
595427,2021-04-06 18:05:35,74.4,0 days 00:05:00
595437,2021-04-06 18:10:35,74.4,0 days 00:05:00
595444,2021-04-06 18:15:35,74.3,0 days 00:05:00
595454,2021-04-06 18:21:05,72.2,0 days 00:05:30
595460,2021-04-06 18:26:05,72.4,0 days 00:05:00
595470,2021-04-06 18:31:35,71.7,0 days 00:05:30
595479,2021-04-06 18:36:35,71.3,0 days 00:05:00
595487,2021-04-06 18:41:35,71.6,0 days 00:05:00
595495,2021-04-06 18:47:35,71.4,0 days 00:06:00
595504,2021-04-06 18:52:35,72.9,0 days 00:05:00
595511,2021-04-06 18:57:35,73.7,0 days 00:05:00
595518,2021-04-06 19:02:35,74.4,0 days 00:05:00
595525,2021-04-06 19:08:35,75.8,0 days 00:06:00
595535,2021-04-06 19:13:35,77.9,0 days 00:05:00
595543,2021-04-06 19:19:04,79.1,0 days 00:05:29
595554,2021-04-06 19:24:05,78.1,0 days 00:05:01
595569,2021-04-06 19:29:34,78.7,0 days 00:05:29
595586,2021-04-06 19:35:02,82.9,0 days 00:05:28
595597,2021-04-06 19:40:02,82.2,0 days 00:05:00
595610,2021-04-06 19:45:32,82.2,0 days 00:05:30
595620,2021-04-06 19:50:32,83.7,0 days 00:05:00
595629,2021-04-06 19:55:32,84,0 days 00:05:00
595644,2021-04-06 20:00:58,89,0 days 00:05:26
595662,2021-04-06 20:05:58,91.5,0 days 00:05:00
595677,2021-04-06 20:11:01,100.2,0 days 00:05:03
595700,2021-04-06 20:17:06,109.3,0 days 00:06:05
595714,2021-04-06 20:22:10,115.8,0 days 00:05:04
595734,2021-04-06 20:27:30,125.4,0 days 00:05:20
595750,2021-04-06 20:32:30,135.6,0 days 00:05:00
595769,2021-04-06 20:37:58,142.2,0 days 00:05:28
595786,2021-04-06 20:43:26,145.1,0 days 00:05:28
595800,2021-04-06 20:48:27,143.3,0 days 00:05:01
595814,2021-04-06 20:53:56,145.6,0 days 00:05:29
595829,2021-04-06 20:59:22,161.5,0 days 00:05:26
595840,2021-04-06 21:04:36,170.1,0 days 00:05:14
595850,2021-04-06 21:09:36,171.4,0 days 00:05:00
595855,2021-04-06 21:14:36,170.4,0 days 00:05:00
595866,2021-04-06 21:20:04,173.8,0 days 00:05:28
595876,2021-04-06 21:25:04,175.8,0 days 00:05:00
595889,2021-04-06 21:30:06,189.1,0 days 00:05:02
595900,2021-04-06 21:35:34,197.4,0 days 00:05:28
595914,2021-04-06 21:40:34,212.9,0 days 00:05:00
595950,2021-04-06 21:45:34,257.1,0 days 00:05:00
595975,2021-04-06 21:50:40,286.5,0 days 00:05:06
596006,2021-04-06 21:55:44,323.4,0 days 00:05:04
596029,2021-04-06 22:00:56,350.5,0 days 00:05:12
596047,2021-04-06 22:06:20,370.7,0 days 00:05:24
596070,2021-04-06 22:11:28,398.4,0 days 00:05:08
596099,2021-04-06 22:16:28,432.1,0 days 00:05:00
596113,2021-04-06 22:21:42,446.6,0 days 00:05:14
596130,2021-04-06 22:26:52,462.1,0 days 00:05:10
596146,2021-04-06 22:31:52,458.9,0 days 00:05:00
596170,2021-04-06 22:37:00,482,0 days 00:05:08
596196,2021-04-06 22:42:11,497.6,0 days 00:05:11
596215,2021-04-06 22:47:30,492.6,0 days 00:05:19
596237,2021-04-06 22:52:48,502.6,0 days 00:05:18
596259,2021-04-06 22:57:56,491,0 days 00:05:08
596277,2021-04-06 23:03:12,486.9,0 days 00:05:16
596292,2021-04-06 23:08:42,492.4,0 days 00:05:30
596309,2021-04-06 23:13:53,505.3,0 days 00:05:11
596324,2021-04-06 23:19:16,517,0 days 00:05:23
596345,2021-04-06 23:24:18,541,0 days 00:05:02
596378,2021-04-06 23:29:20,581.4,0 days 00:05:02
596409,2021-04-06 23:34:24,617.8,0 days 00:05:04
596433,2021-04-06 23:39:24,646.1,0 days 00:05:00
596452,2021-04-06 23:44:26,667.7,0 days 00:05:02
596473,2021-04-06 23:49:30,692.7,0 days 00:05:04
596494,2021-04-06 23:54:40,717,0 days 00:05:10
596518,2021-04-06 23:59:48,744.7,0 days 00:05:08
596536,2021-04-07 00:05:00,757.6,0 days 00:05:12
596558,2021-04-07 00:10:10,775.8,0 days 00:05:10
596585,2021-04-07 00:15:20,794.3,0 days 00:05:10
596613,2021-04-07 00:20:26,815.4,0 days 00:05:06
596642,2021-04-07 00:25:48,837.4,0 days 00:05:22
596664,2021-04-07 00:31:04,854.6,0 days 00:05:16
596679,2021-04-07 00:36:15,861.2,0 days 00:05:11
596691,2021-04-07 00:41:21,872.9,0 days 00:05:06
596709,2021-04-07 00:46:21,893.7,0 days 00:05:00
596727,2021-04-07 00:51:21,914.7,0 days 00:05:00
596743,2021-04-07 00:56:27,933.2,0 days 00:05:06
596757,2021-04-07 01:01:41,949.4,0 days 00:05:14
596768,2021-04-07 01:07:07,955.9,0 days 00:05:26
596779,2021-04-07 01:12:23,964.3,0 days 00:05:16
596790,2021-04-07 01:17:45,971.8,0 days 00:05:22
596800,2021-04-07 01:22:45,977,0 days 00:05:00
596811,2021-04-07 01:28:11,985,0 days 00:05:26
596822,2021-04-07 01:33:15,993.7,0 days 00:05:04
596832,2021-04-07 01:38:27,998.2,0 days 00:05:12
596842,2021-04-07 01:43:47,992.1,0 days 00:05:20
596859,2021-04-07 01:48:55,972,0 days 00:05:08
596880,2021-04-07 01:53:59,947.6,0 days 00:05:04
596902,2021-04-07 01:59:03,924.4,0 days 00:05:04
596919,2021-04-07 02:04:03,904.3,0 days 00:05:00
596939,2021-04-07 02:09:09,885,0 days 00:05:06
596959,2021-04-07 02:14:25,864.1,0 days 00:05:16
596984,2021-04-07 02:19:39,844.3,0 days 00:05:14
597010,2021-04-07 02:24:49,826.3,0 days 00:05:10
597033,2021-04-07 02:29:59,809.9,0 days 00:05:10
597057,2021-04-07 02:35:11,793.5,0 days 00:05:12
597080,2021-04-07 02:40:29,778.9,0 days 00:05:18
597103,2021-04-07 02:45:47,765,0 days 00:05:18
597124,2021-04-07 02:51:11,750.6,0 days 00:05:24
597145,2021-04-07 02:56:17,739.5,0 days 00:05:06
597163,2021-04-07 03:01:17,730,0 days 00:05:00
597183,2021-04-07 03:06:27,720.1,0 days 00:05:10
597204,2021-04-07 03:11:45,707.4,0 days 00:05:18
597225,2021-04-07 03:16:49,696.6,0 days 00:05:04
597245,2021-04-07 03:21:49,685.5,0 days 00:05:00
597264,2021-04-07 03:27:05,675.4,0 days 00:05:16
597284,2021-04-07 03:32:07,664.6,0 days 00:05:02
597304,2021-04-07 03:37:17,654,0 days 00:05:10
597318,2021-04-07 03:42:33,644.6,0 days 00:05:16
597328,2021-04-07 03:47:33,642.1,0 days 00:05:00
597338,2021-04-07 03:52:33,645.2,0 days 00:05:00
597348,2021-04-07 03:57:33,650.2,0 days 00:05:00
597358,2021-04-07 04:02:33,657.7,0 days 00:05:00
597369,2021-04-07 04:07:53,666,0 days 00:05:20
597379,2021-04-07 04:12:53,672.3,0 days 00:05:00
597395,2021-04-07 04:18:13,680,0 days 00:05:20
597414,2021-04-07 04:23:14,685.5,0 days 00:05:01
597425,2021-04-07 04:28:26,692.4,0 days 00:05:12
597436,2021-04-07 04:33:29,702.4,0 days 00:05:03
597448,2021-04-07 04:38:48,713,0 days 00:05:19
597465,2021-04-07 04:43:48,719.5,0 days 00:05:00
597482,2021-04-07 04:49:13,727.1,0 days 00:05:25
597492,2021-04-07 04:54:13,732.6,0 days 00:05:00
597502,2021-04-07 04:59:13,736.4,0 days 00:05:00
597510,2021-04-07 05:04:13,737.6,0 days 00:05:00
597520,2021-04-07 05:09:42,738.5,0 days 00:05:29
597529,2021-04-07 05:14:43,737.6,0 days 00:05:01
597539,2021-04-07 05:20:13,733.4,0 days 00:05:30
597549,2021-04-07 05:25:42,729.9,0 days 00:05:29
597559,2021-04-07 05:30:42,725.6,0 days 00:05:00
597568,2021-04-07 05:35:42,722.6,0 days 00:05:00
597576,2021-04-07 05:41:37,720.9,0 days 00:05:55
597586,2021-04-07 05:48:06,721.4,0 days 00:06:29
597602,2021-04-07 05:53:06,724.3,0 days 00:05:00
597618,2021-04-07 05:58:36,726.5,0 days 00:05:30
597635,2021-04-07 06:03:36,729.7,0 days 00:05:00
597651,2021-04-07 06:08:36,732.7,0 days 00:05:00
597659,2021-04-07 06:13:37,733.8,0 days 00:05:01
